KO,55.73,55.73,54.97,55.28,93906
KR,21.34,21.37,20.98,21.09,65198
KSS,46.75,47.13,46.49,46.72,52156
L,36.9,36.9,36.48,36.54,26108
LEG,20.12,20.19,19.46,19.7,12179
LEN,13.34,13.41,12.87,12.89,42269
LH,75.58,75.77,74.26,74.95,6513
LIFE,45,45.075,43.76,44.33,22159
LLL,71.13,71.33,69.8,70.06,8783
LLTC,30.18,30.37,29.6,29.73,40565
LLY,34.59,34.69,34.18,34.28,105783
LM,27.87,28.11,27.42,27.44,23618
LMT,73.33,73.72,72.66,73.08,31127
LNC,22.18,22.25,21.4,21.58,47131
LO,75.96,76.09,74.54,75.28,8774
LOW,20.62,20.845,20.13,20.4,178239
LSI,4.59,4.59,4.44,4.48,118655
LTD,25.85,26.58,25.625,25.86,69371
LUK,21,21.03,20.35,20.55,9042
LUV,11.46,11.55,11.06,11.2,63237
LXK,37.55,38.02,37.01,37.43,13684
M,20.87,20.97,20.54,20.72,71268
MA,212.74,213.96,208.6,208.89,8566
MAR,34.48,34.64,33.19,33.57,36800
MAS,10.76,10.89,10.56,10.66,39087
MAT,22.21,22.23,21.46,21.76,33487
MCD,73.15,73.4,72.45,72.97,69504
MCHP,29.15,29.19,28.69,28.76,26284
MCK,61.98,62.11,60.91,61.45,19875
MCO,22.41,22.47,21.955,22.02,13981
MDP,31.33,31.33,30.43,30.66,2922
MDT,36.08,36.21,35.35,35.48,52182
MEE,33.02,33.61,32.34,32.52,35002
MET,39.21,39.78,37.78,37.95,109935
MFE,47.33,47.35,46.97,47.01,1856384
MHP,29.06,29.12,28.53,28.77,16217
MHS,46.5,46.5,45.15,45.33,47609
MI,6.43,6.52,6.17,6.27,90869
MJN,53.58,53.93,52.53,52.94,12324
MKC,40.43,40.68,40.15,40.56,11577
MMC,23.77,23.79,23.2,23.21,38738
MMM,83.33,83.4388,81.19,81.81,39593
MO,22.92,22.95,22.55,22.76,125769
MOLX,18.94,18.97,18.3,18.46,10672
MON,58.53,58.68,56.63,57.17,65950
MOT,7.81,7.81,7.47,7.54,333944
MRK,35.3,35.34,34.5,34.71,115088
MRO,32.41,32.47,31.92,32,46633
MS,26.15,26.41,25.71,25.99,116162
MSFT,24.58,24.74,24.21,24.44,540690
MTB,90.12,90.32,88.07,89.31,9964
MU,7.36,7.44,7.115,7.18,287817
MUR,55.65,55.85,54.83,55.45,20743
MWV,21.93,22.05,21.305,21.48,9345
MWW,11.32,11.4,10.95,11,36262
MYL,17.78,17.8,17.43,17.6,45502
NBL,68.59,68.64,67.57,67.99,12033
NBR,17.29,17.53,17.02,17.18,51578
NDAQ,20.05,20.15,19.67,19.7,31614
NEE,52.19,52.37,51.5,51.84,12843
NEM,59.79,60.23,58.15,58.44,53966
NI,16.93,16.95,16.57,16.66,19588
NKE,71.81,72.01,70.56,71.34,24702
NOC,57.95,58.25,56.82,57.06,23431
NOV,39.39,39.5,38.43,38.69,25899
NOVL,5.87,5.94,5.73,5.77,19563
NRG,21.71,21.71,21.2,21.29,21285
NSC,55.86,55.88,53.73,54.56,30305
NSM,13.28,13.3899,13.07,13.08,26762
NTAP,38.5,40.94,38.38,40.7,228008
NTRS,50,50,48.23,48.3,24532
NU,28.84,28.87,28.29,28.6,13076
NUE,39.31,39.67,38.36,38.54,28376
NVDA,9.41,9.91,9.37,9.88,403774
NVLS,25.22,25.44,24.93,25.03,17866
NWL,15.94,15.96,15.4,15.55,41407
NWSA,13.04,13.07,12.56,12.78,151377
NYT,8.25,8.3,7.9,7.95,14467
NYX,29.03,29.03,28.45,28.6,21125
ODP,4.12,4.26,4.07,4.08,51131
OI,26.645,26.88,26.17,26.67,22674
OKE,45.25,45.31,44.25,44.59,4954
OMC,36.69,36.765,36.11,36.39,19025
ORCL,22.86,23.1599,22.82,23,267548
ORLY,47.62,48.04,47.15,47.47,11177
OXY,75.4,75.7,74.26,75.39,46764
PAYX,25.38,25.43,24.94,25.26,29870
PBCT,13.34,13.49,13.12,13.13,29510
PBI,20.08,20.16,19.7,19.8,21819
PCAR,43.24,43.56,42,42.34,30644
PCG,45.31,45.31,44.651,45.1,27973
PCL,35.01,35.01,34.08,34.39,15589
PCLN,296.77,308.95,293.88,299.47,12197
PCP,121.94,121.94,118.44,120.01,9330
PCS,8.96,9.06,8.8,8.88,67295
PDCO,27.27,27.33,26.79,27.06,11298
PEG,32.18,32.24,31.5,31.66,22814
PEP,65.5,65.52,64.26,64.66,45496
PFE,16.07,16.13,15.82,16.03,532621
PFG,22.87,23.015,22.6,22.74,67804
PG,60.55,60.63,59.85,60.19,98226
PGN,42.61,42.7,41.735,41.89,21539
PGR,19.67,19.72,19.49,19.51,83542
PH,64.75,64.9,63.41,63.8,33354
PHM,8.28,8.32,8.06,8.12,47672
PKI,21.89,22.02,21.32,21.55,12272
PLD,10.25,10.3,9.96,10.01,65174
PLL,36.22,36.44,35.48,35.89,11937
PM,52.72,52.72,51.62,52,97416
PNC,55.93,56.33,54.26,54.29,44629
PNW,39.6,39.74,39.01,39.24,7616
POM,17.84,17.88,17.65,17.77,27590
PPG,66.86,66.99,65.04,65.59,12003
PPL,26.92,26.99,26.44,26.69,29824
PRU,55.15,55.18,52.78,52.87,48244
PSA,101.03,101.22,97.72,98.57,13052
PTV,32.52,32.58,32.47,32.55,201799
PWR,19.18,19.24,18.75,18.91,13910
PX,88.72,88.78,87.51,88.11,22834
PXD,58.03,58.63,57.6,58,13195
Q,5.66,5.67,5.64,5.66,203526
QCOM,38.76,38.84,37.72,38.11,215758
QEP,31.29,31.46,30.76,31.34,4420
QLGC,15.21,15.33,14.8,14.89,17471
R,40.8,40.8,39.44,39.65,10930
RAI,57.67,57.67,56.23,56.76,10602
RDC,26.06,26.49,25.4,25.74,20480
RF,7.17,7.27,6.9,6.94,153452
RHI,23.82,23.82,23.01,23.18,10923
RHT,31.82,32.1,31.1421,31.41,26679
RL,82.78,83.2,81.45,82.72,9870
ROK,52.07,52.25,50.88,51.06,18317
ROP,60.39,60.62,59.25,59.55,4490
ROST,50.89,51.86,49.33,50.28,32108
RRC,34.98,35.1,34.22,34.57,36762
RRD,16.35,16.36,15.8,15.89,20625
RSG,29.94,30.65,29.75,30.11,43878
RSH,19.51,19.85,18.98,19.08,57085
RTN,44.93,44.93,43.8901,44.01,35605
S,4.43,4.46,4.2,4.25,617751
SAI,15.6,15.61,15.25,15.52,27961
SBUX,24.34,24.524,23.86,24.04,68117
