Date,Open,High,Low,Close,Volume,Adj Close
1999-06-18,120.19,121.44,119.75,120.75,9159600,99.74
1999-06-17,119.25,122.00,119.00,120.19,4675900,99.28
1999-06-16,119.88,121.50,118.88,120.69,6963100,99.69
1999-06-15,117.50,118.31,114.75,115.88,4884900,95.71
1999-06-14,115.88,116.00,114.00,115.50,4896700,95.40
1999-06-11,115.06,116.50,112.56,114.31,4295200,94.42
1999-06-10,115.88,116.75,113.31,115.25,4851500,95.20
1999-06-09,116.62,120.88,116.56,117.00,5569600,96.64
1999-06-08,119.88,119.88,116.06,116.62,7395400,96.33
1999-06-07,118.12,121.69,117.50,120.50,6663900,99.53
1999-06-04,113.62,116.00,112.44,116.00,5258800,95.82
1999-06-03,114.56,115.31,111.56,112.94,5112600,93.29
1999-06-02,111.75,114.62,109.44,113.75,7005000,93.96
1999-06-01,113.62,113.88,111.19,112.00,7158500,92.51
1999-05-28,116.00,116.75,114.19,116.00,6379500,95.82
1999-05-27,116.69,116.88,112.62,116.00,10552500,95.82
1999-05-26,223.00,236.62,221.44,236.25,16628000,97.57
1999-05-25,222.50,226.00,221.00,221.19,9405000,91.35
1999-05-24,230.31,230.69,221.75,223.75,8598200,92.41
1999-05-21,232.75,233.38,229.19,230.38,6899800,95.15
1999-05-20,235.62,236.38,232.50,232.88,6441800,96.18
1999-05-19,238.25,238.75,233.06,235.88,7791600,97.42
1999-05-18,238.25,240.62,237.00,238.50,8633800,98.50
1999-05-17,236.00,239.62,232.00,237.50,11560400,98.09
1999-05-14,241.50,243.50,236.00,239.25,18073800,98.81
1999-05-13,234.00,246.00,234.00,246.00,24331400,101.60
1999-05-12,221.12,228.44,215.50,225.50,12066800,93.13
1999-05-11,220.50,221.88,217.50,221.00,8372800,91.27
1999-05-10,217.25,221.88,217.06,218.62,9548400,90.29
1999-05-07,211.25,217.50,211.06,217.25,9986800,89.72
1999-05-06,211.88,214.00,208.00,209.25,8339600,86.42
1999-05-05,212.12,212.50,207.31,212.12,8472400,87.51
1999-05-04,212.25,215.88,211.38,212.00,11132400,87.46
1999-05-03,208.00,212.25,206.31,212.25,9032200,87.56
1999-04-30,208.50,211.00,203.44,209.19,9031000,86.30
1999-04-29,205.00,209.00,203.44,204.81,11279200,84.49
1999-04-28,209.25,210.50,203.50,205.00,11341800,84.57
1999-04-27,212.00,215.25,208.50,212.00,20929200,87.46
1999-04-26,204.75,210.75,202.31,209.88,18666000,86.58
1999-04-23,193.38,206.56,192.94,199.75,20751000,82.40
