exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,ZN,2009-01-29,8.74,9.29,8.50,9.29,57800,9.29
AMEX,ZN,2009-01-28,8.20,8.90,8.09,8.48,32800,8.48
AMEX,ZN,2009-01-27,7.85,8.40,7.85,8.40,22000,8.40
AMEX,ZN,2009-01-26,7.95,8.00,7.58,7.80,23100,7.80
AMEX,ZN,2009-01-23,7.80,7.80,7.25,7.50,16700,7.50
AMEX,ZN,2009-01-22,7.65,7.65,7.25,7.35,14000,7.35
AMEX,ZN,2009-01-21,7.52,7.79,7.42,7.50,20600,7.50
AMEX,ZN,2009-01-20,7.45,7.94,7.00,7.61,27000,7.61
AMEX,ZN,2009-01-16,7.10,7.19,6.95,6.97,14100,6.97
AMEX,ZN,2009-01-15,7.34,7.34,7.00,7.03,10900,7.03
AMEX,ZN,2009-01-14,7.18,7.18,7.00,7.00,25900,7.00
AMEX,ZN,2009-01-13,7.15,7.40,7.00,7.10,22900,7.10
AMEX,ZN,2009-01-12,7.38,7.49,6.98,7.10,23000,7.10
AMEX,ZN,2009-01-09,7.01,7.39,7.00,7.15,20400,7.15
AMEX,ZN,2009-01-08,8.49,8.49,7.00,7.01,52400,7.01
AMEX,ZN,2009-01-07,7.15,9.71,7.10,8.35,71700,8.35
AMEX,ZN,2009-01-06,6.71,7.06,6.71,7.06,15900,7.06
AMEX,ZN,2009-01-05,6.50,6.75,6.50,6.71,20600,6.71
AMEX,ZN,2009-01-02,6.49,6.50,6.41,6.50,11600,6.50
AMEX,ZN,2008-12-31,6.49,6.50,6.49,6.49,14400,6.49
AMEX,ZN,2008-12-30,6.37,6.50,6.36,6.40,4900,6.40
AMEX,ZN,2008-12-29,6.50,6.50,6.20,6.47,8600,6.47
AMEX,ZN,2008-12-26,6.50,6.50,6.21,6.45,4200,6.45
AMEX,ZN,2008-12-24,6.50,6.50,6.45,6.45,3500,6.45
AMEX,ZN,2008-12-23,6.50,6.50,6.30,6.40,4500,6.40
AMEX,ZN,2008-12-22,6.20,6.65,6.20,6.35,10300,6.35
AMEX,ZN,2008-12-19,6.27,6.45,6.20,6.20,8300,6.20
AMEX,ZN,2008-12-18,6.45,6.48,6.37,6.40,4000,6.40
AMEX,ZN,2008-12-17,6.45,6.48,6.38,6.45,5200,6.45
AMEX,ZN,2008-12-16,6.45,6.46,6.20,6.45,9200,6.45
AMEX,ZN,2008-12-15,6.47,6.47,6.16,6.33,4600,6.33
AMEX,ZN,2008-12-12,6.47,6.47,6.15,6.20,10200,6.20
AMEX,ZN,2008-12-11,6.30,6.46,6.20,6.21,15500,6.21
AMEX,ZN,2008-12-10,6.47,6.47,6.25,6.30,6000,6.30
AMEX,ZN,2008-12-09,6.26,6.33,6.20,6.30,12700,6.30
AMEX,ZN,2008-12-08,6.17,6.45,6.15,6.35,13400,6.35
AMEX,ZN,2008-12-05,6.24,6.26,6.15,6.17,1600,6.17
AMEX,ZN,2008-12-04,6.24,6.24,6.15,6.24,3200,6.24
AMEX,ZN,2008-12-03,6.17,6.25,6.15,6.18,2300,6.18
AMEX,ZN,2008-12-02,6.50,6.55,6.10,6.15,9800,6.15
AMEX,ZN,2008-12-01,6.34,6.48,5.85,6.45,27700,6.45
AMEX,ZN,2008-11-28,6.34,6.34,6.06,6.06,4700,6.06
AMEX,ZN,2008-11-26,6.49,6.49,6.10,6.28,4200,6.28
AMEX,ZN,2008-11-25,6.28,6.44,6.10,6.10,9800,6.10
AMEX,ZN,2008-11-24,6.50,6.50,6.26,6.44,12800,6.44
AMEX,ZN,2008-11-21,6.38,6.50,6.01,6.50,20900,6.50
AMEX,ZN,2008-11-20,6.50,6.50,6.30,6.35,6900,6.35
AMEX,ZN,2008-11-19,6.37,6.50,6.26,6.50,8800,6.50
AMEX,ZN,2008-11-18,6.31,6.50,6.20,6.50,7300,6.50
AMEX,ZN,2008-11-17,6.50,6.50,6.25,6.38,5400,6.38
AMEX,ZN,2008-11-14,6.26,6.50,6.25,6.48,4300,6.48
AMEX,ZN,2008-11-13,6.25,6.50,6.17,6.47,4800,6.47
AMEX,ZN,2008-11-12,6.50,6.50,6.20,6.21,8600,6.21
AMEX,ZN,2008-11-11,6.46,6.50,6.10,6.50,5400,6.50
AMEX,ZN,2008-11-10,5.99,6.50,5.80,6.46,28000,6.46
AMEX,ZN,2008-11-07,6.38,6.40,5.50,5.75,31300,5.75
AMEX,ZN,2008-11-06,6.05,6.50,6.00,6.01,14900,6.01
AMEX,ZN,2008-11-05,6.32,6.50,6.00,6.00,12700,6.00
AMEX,ZN,2008-11-04,6.43,6.50,6.30,6.50,8700,6.50
AMEX,ZN,2008-11-03,6.37,6.46,6.20,6.45,14400,6.45
AMEX,ZN,2008-10-31,6.20,6.45,6.01,6.30,6500,6.30
AMEX,ZN,2008-10-30,6.08,6.20,6.00,6.01,7100,6.01
AMEX,ZN,2008-10-29,6.11,6.20,6.00,6.08,10900,6.08
AMEX,ZN,2008-10-28,6.05,6.12,6.00,6.12,10400,6.12
AMEX,ZN,2008-10-27,5.99,6.00,5.60,6.00,6500,6.00
AMEX,ZN,2008-10-24,5.81,6.06,5.70,5.70,17500,5.70
AMEX,ZN,2008-10-23,6.00,6.06,6.00,6.06,6000,6.06
AMEX,ZN,2008-10-22,6.05,6.06,5.95,6.06,12900,6.06
AMEX,ZN,2008-10-21,6.04,6.04,5.90,6.00,12800,6.00
AMEX,ZN,2008-10-20,6.00,6.00,5.80,5.90,6400,5.90
AMEX,ZN,2008-10-17,5.90,6.00,5.75,5.94,16100,5.94
AMEX,ZN,2008-10-16,5.80,5.90,5.67,5.90,11200,5.90
